Organization Name,Networks Shared With Me,Networks I'm Sharing
Douglas County GA SO,Douglas County GA SO,Franklin County GA SO
Seminole County GA SO,Seminole County GA SO,Franklin County GA SO
Clinton Township NJ PD,,"Franklin County GA SO,Franklin County GA SO (Flex) "
Hancock County GA SO,Hancock County GA SO,Franklin County GA SO
Macon County NC SO,"Macon County NC SO,Macon County NC SO (Flex)",Franklin County GA SO
Emory University Campus PD GA,"Emory University Campus PD GA,Emory University Campus PD GA (Condor)",Franklin County GA SO
Dougherty County GA PD ,"Dougherty County GA PD ,Dougherty County GA PD (Condors)",Franklin County GA SO
Fairburn GA PD,Fairburn GA PD,Franklin County GA SO
Lafayette County MS SO,"Lafayette County MS SO (Flex),Lafayette County MS SO",Franklin County GA SO
Ancient City Capital,"AHPC PARKS AT RIVERCREST LLC (SC),AHPC Terraces at Fieldstone Apartments LLC (GA),PSG Vesta Derby Oaks LLC (KY),Gardenia Grove (MS),Patriot Grove,Kingston Point (LA),AHPC Verandas at Rocky Ridge 2021 LLC (AL),Iberia South (LA),Greenbrier Apartments (WV),Bern-Mas (LA),AHPC Plantations at Pine Lake (FL),Beacon Pointe (MS),Social 1600 (FL),AHPC Orchard Park 2021 LLC (SC) ,Autumn Trace Apts (MS),AHPC Vista Towers 2021 LLC (SC),2018 IAVF TIMBER OAKS LLC (IL),Eban Village (TX),Granada Square (MS),Sunset on the Bayou (AL),MILLENNIA JAX 2021 LLC (FL),Village Hills Apartments (WV),Patriot Plaza (FL),AHPC Hub Tallahassee LLC (Ocala Rd) (FL),AHPC PROSPER FAIRWAYS APARTMENTS LLC (SC) ,Crestview at Cordova (FL) ,ALPINE APARTMENT HOMES LLC (GA),PSG Pine Forest Park (TX),FOUNTAIN CITY APARTMENTS LLC (GA),The Cove at NOLA (LA),AHPC SOCIAL TALLAHASSEE LLC (FL),The Rubix (Patriot Suites) (NV),AHPC Lakeview at Cottage Hill 2021 LLC (AL),Patriot Grove (MS),Brookwood Apartments (LA),Bandywood (MS),Regency Woods (MS),AHPC Cordova Regency (FL) ,2018 IAVF PRAIRIE VIEW LLC (IL),HHF - McDaniels Street (GA),AHPC TROPICAL RIDGE APARTMENTS LLC,AHPC Inverness Lakes 2021 LLC (AL)",
Franklin County AL SO,Franklin County AL SO (Flex),
GA - Georgia Piedmont Technical College ,Georgia Piedmont Technical College Campus PD ,Franklin County GA SO
Gainesville GA PD,"Gainesville GA PD,Gainesville PD (GA) Flex",Franklin County GA SO
Clayton GA PD,"Clayton GA PD,Clayton GA PD (Condors)",Franklin County GA SO
McIntyre GA PD,"McIntyre GA PD (Condor),McIntyre GA PD",Franklin County GA SO
Canton GA PD,Canton GA PD,Franklin County GA SO
Floyd County GA PD,"Floyd County GA PD (Flex),Floyd County GA PD - RedSpeed,Floyd County GA PD",Franklin County GA SO
Sylvania GA PD,Sylvania GA PD,Franklin County GA SO
Irondale AL PD,Irondale AL PD,
Butler Township OH PD,Butler Township OH PD,
Rockmart GA PD,Rockmart GA PD,Franklin County GA SO
Coweta County GA SO,Coweta County GA SO,Franklin County GA SO
Sumter County GA SO ,"Sumter County GA SO,Sumter County GA School District ",Franklin County GA SO
Bloomfield NM PD,Bloomfield NM PD,
Hart County GA SO,Hart County GA SO,"Franklin County GA SO,Franklin County GA SO (Flex) "
Port Wentworth GA PD,Port Wentworth GA,Franklin County GA SO
Barrow County GA SO,"Barrow County GA SO (Falcon),Barrow County GA SO (Condor),Barrow County SO GA (Flex),Barrow County GA SO - Wing Suite","Franklin County GA SO,Franklin County GA SO (Flex) "
Conyers GA PD,Conyers GA PD,Franklin County GA SO
