Organization Name,Networks Shared With Me,Networks I'm Sharing
Forest Park OH PD,Forest Park OH PD,"Kennesaw State University,Kennesaw State University Raven"
Terre Haute IN PD,"Terre Haute PD IN (Trailer),Terre Haute PD IN",Kennesaw State University
Cheviot OH PD,Cheviot OH PD,Kennesaw State University
Delhi Twp OH PD,Delhi Twp OH PD,
OH - Mariemont PD,Mariemont PD OH,Kennesaw State University
White County TN SO,White County TN SO,
Pigeon Forge TN PD,Pigeon Forge TN PD,
Green Township OH PD,Green Township OH PD,
OH - Williamsburg PD,Williamsburg PD OH,Kennesaw State University
Fairfield PD - OH ,Fairfield OH PD,Kennesaw State University
Deer Park OH PD,Deer Park PD OH,Kennesaw State University
OH - Highland County SO,Highland Co SO OH,Kennesaw State University
Pierce Township OH PD,Pierce Township OH PD,Kennesaw State University
OH - Milford PD,Milford PD OH,Kennesaw State University
Lockland OH PD,Lockland OH PD,Kennesaw State University
Ross Township OH PD,Ross Township OH PD,Kennesaw State University
DeSoto County MS SO,,Kennesaw State University
Halls TN PD,,Kennesaw State University
College Park GA PD,"College Park GA PD - Falcon,College Park PD - Flex","Kennesaw State University,Kennesaw State University Raven"
Gwinnett County GA PD,"Gwinnett County GA PD (LR),Gwinnett County GA PD,Gwinnett County GA PD - Solar Video,Gwinnett County GA PD - RedSpeed","Kennesaw State University,Kennesaw State University Raven"
Sumter County GA SO ,"Sumter County GA School District ,Sumter County GA SO",Kennesaw State University
South Russell OH PD ,South Russell OH PD,
Green Island NY PD,Green Island NY PD,
Evans County GA SO,Evans County GA SO,Kennesaw State University
Carson City NV SO,Carson City SO NV,
Pulaski County MO SO,Pulaski County MO SO,
Carrollton TX PD,"Carrollton TX PD,Carrollton TX PD - Parks ",
St. Peters MO PD,St. Peters MO PD,Kennesaw State University
Heath TX DPS,Heath TX DPS,
Leeds AL PD,Leeds AL PD,Kennesaw State University
Jackson MS PD,Jackson MS PD,Kennesaw State University
Hamburg Village NY PD,"Hamburg Village NY PD,Hamburg Village NY PD (Flex)",
Baldwin County GA SO,"Baldwin County GA SO (Flex),Baldwin County GA SO - RedSpeed,Baldwin County GA SO,Baldwin County GA SO - Annex","Kennesaw State University,Kennesaw State University Raven"
Athens IL PD,Athens IL PD,
Ancient City Capital,"Granada Square (MS),PSG Vesta Derby Oaks LLC (KY),AHPC TROPICAL RIDGE APARTMENTS LLC,AHPC PARKS AT RIVERCREST LLC (SC),FOUNTAIN CITY APARTMENTS LLC (GA),AHPC Lakeview at Cottage Hill 2021 LLC (AL),MILLENNIA JAX 2021 LLC (FL),AHPC Terraces at Fieldstone Apartments LLC (GA),AHPC PROSPER FAIRWAYS APARTMENTS LLC (SC) ,2018 IAVF TIMBER OAKS LLC (IL),Bandywood (MS),Patriot Grove (MS),Eban Village (TX),AHPC Plantations at Pine Lake (FL),AHPC SOCIAL TALLAHASSEE LLC (FL),Beacon Pointe (MS),ALPINE APARTMENT HOMES LLC (GA),Bern-Mas (LA),AHPC Hub Tallahassee LLC (Ocala Rd) (FL),HHF - McDaniels Street (GA),The Cove at NOLA (LA),Social 1600 (FL),Sunset on the Bayou (AL),Iberia South (LA),Brookwood Apartments (LA),Regency Woods (MS),Gardenia Grove (MS),AHPC Orchard Park 2021 LLC (SC) ,Patriot Grove,Greenbrier Apartments (WV),Kingston Point (LA),Village Hills Apartments (WV),The Rubix (Patriot Suites) (NV),2018 IAVF PRAIRIE VIEW LLC (IL),AHPC Cordova Regency (FL) ,Crestview at Cordova (FL) ,PSG Pine Forest Park (TX),AHPC Vista Towers 2021 LLC (SC),AHPC Inverness Lakes 2021 LLC (AL),Patriot Plaza (FL),Autumn Trace Apts (MS),AHPC Verandas at Rocky Ridge 2021 LLC (AL)",
Fairfield Glade TN PD,Fairfield Glade TN PD,
Oak Lawn IL PD,Oak Lawn IL PD,
Glynn County GA PD ,Glynn County GA PD ,Kennesaw State University
Woodford County IL SO,Woodford County IL SO,
Rabun County GA SO,"Rabun County GA SO (Flex),Rabun County GA SO ","Kennesaw State University,Kennesaw State University Raven"
Statesboro GA PD,"Statesboro GA PD (Flex),Statesboro GA PD,Statesboro GA PD (Raven)","Kennesaw State University,Kennesaw State University Raven"
La Follette TN PD,Lafollette TN PD ,Kennesaw State University
Park Forest IL PD,Park Forest IL PD,
Pickens County SC SO,Pickens County SC SO,Kennesaw State University
University of Central Missouri PD,University of Central Missouri PD,Kennesaw State University
Pickens County GA SO,"Pickens County GA SO,Pickens County GA SO - Redspeed,Pickens County GA SO (FLEX) ",Kennesaw State University
Tyler TX PD,Tyler TX PD,
Alabama Department of Corrections,"Alabama Department of Corrections,Alabama Dept of Corrections (Flex)",Kennesaw State University
Gilbert AZ PD,AZ - Gilbert PD,
Wapello County IA SO,Wapello County IA SO,Kennesaw State University
UT Southwestern Medical Center TX ,UT Southwestern Medical Center TX ,
Snellville GA PD,"Snellville GA PD (RedSpeed),Snellville GA PD - Raven,Snellville GA PD (Live Video) ,Snellville GA PD,City of Snellville (GA) - Flex","Kennesaw State University,Kennesaw State University Raven"
FL- Sanford PD,Sanford FL PD,Kennesaw State University
Roane County TN SO,"Roane County Schools TN,Roane County TN SO",
Tybee Island GA PD,Tybee Island GA PD,Kennesaw State University
Grafton MA PD,Grafton MA PD,
Oxford MS PD,Oxford MS PD,Kennesaw State University
New London WI PD,New London WI PD,
Defuniak Springs FL PD,Defuniak Springs FL PD,Kennesaw State University
Fort Oglethorpe GA PD,Fort Oglethorpe GA PD,Kennesaw State University
Charleston SC PD,Charleston SC PD,Kennesaw State University
North Platte NE PD,North Platte NE PD,
Port St. Lucie FL PD,Port St. Lucie FL PD,Kennesaw State University
Randolph County AR SO ,Randolph County AR SO ,
La Grange Park IL PD,Village of LaGrange Park IL PD,
Newton County GA SO,"Newton County GA SO Flex,Newton County GA SO","Kennesaw State University,Kennesaw State University Raven"
KU Medical Center KS PD,University of Kansas Medical Center PD (KS),
Marion County OH SO,Marion County OH SO,Kennesaw State University
Dream Finders Home (GA),"Harris Creek (GA),Creekbend Overlook (GA),Stonewall Station (GA),Fern Dale (GA)",
Oliver Springs TN PD,Oliver Springs TN PD,Kennesaw State University
Brecksville OH PD,Brecksville OH PD,
Richland County SC SO,Richland County SC SO,Kennesaw State University
Greene County IN Prosecutors,Greene County Prosecutors IN,
Snyder TX PD,Snyder TX PD,
Douglas GA PD,"Douglas GA PD,Douglas GA PD - Live Video ",Kennesaw State University
Doraville GA PD,"Doraville GA PD (Condor),Doraville GA PD (Raven),Doraville GA PD,Doraville GA PD (Trailer)","Kennesaw State University,Kennesaw State University Raven"
Harris County TX SO,"Harris County WCID No. 133 ,Harris County TX MUD No. 278 (Clayton's Corner),Harris Fort Bend Counties TX MUD No. 3,Harris County TX SO,Harris County TX MUD No. 120,Harris County TX MUD No. 102 ,Harris County TX MUD No. 49,Harris County TX WCID No. 96,East Aldine Management District TX ,Harris County Commissioner Court TX Precinct 2,FallBrook MUD TX ",
Vernon Parish LA SO,Vernon Parish LA SO,Kennesaw State University
Friendswood TX PD,"Friendswood TX PD - Wing,Friendswood TX PD,Parkwood Village (TX),San Joaquin Estates (TX),West Ranch, Friendswood (TX)",Kennesaw State University
AL - Autauga County SO,Autauga County SO (AL),Kennesaw State University
Gluckstadt MS PD,"Gluckstadt MS PD (Flex),Gluckstadt MS PD",Kennesaw State University
Stone Mountain GA PD,Stone Mountain GA PD,Kennesaw State University
Belmont NC PD,Belmont NC PD,Kennesaw State University
Tipp City OH PD,Tipp City OH PD,Kennesaw State University
Southaven MS PD,Southaven MS PD,Kennesaw State University
Navajo County AZ SO,Navajo County AZ SO,
Canton IL PD,Canton IL PD,Kennesaw State University
Del City OK PD,Del City OK PD,
Ware County GA SO ,Ware County GA SO ,"Kennesaw State University,Kennesaw State University Raven"
Lady Lake FL PD,"Lady Lake FL PD (Flex),Lady Lake FL PD",Kennesaw State University
Montgomery County TX SO,"Montgomery County TX SO,Montgomery County TX So (FLEX)",Kennesaw State University
Alcoa TN PD,Alcoa TN PD,Kennesaw State University
Flock City PD - Law Enforcement Demo,"DFR ALPR - Demo 8,Flock Safety Condor Training,Tennessee Demo Cameras,Medford Trailer Temp Network,LE Trailer Demo FF,DFR ALPR - Demo 5,Aviation ALPR Demo,Grass Vally CA Demo ,DFR ALPR - Demo 7,DFR ALPR - Demo 3,Demo,Albany GA PD - Demo,DFR ALPR - Demo 6,Empty Now.     ,DFR ALPR - Demo 1,DFR ALPR - Demo 2,Lookup Demo","Kennesaw State University,Kennesaw State University Raven"
Seneca MO PD,Seneca MO PD,
Cobb County GA PD,"Cobb County GA PD - Flex,Cobb County GA PD,Cobb County Parks & Rec","Kennesaw State University,Kennesaw State University Raven"
Leesburg GA PD,"Leesburg GA PD - redspeed,Leesburg GA PD","Kennesaw State University,Kennesaw State University Raven"
Altoona IA PD,Altoona IA PD,"Kennesaw State University,Kennesaw State University Raven"
Port Wentworth GA PD,"Port Wentworth GA PD (Ravens),Port Wentworth GA",
Farmersville TX PD ,Farmersville TX PD ,
Anderson IN PD,"Anderson IN PD,Anderson IN PD (Raven)",Kennesaw State University
Addison TX PD,Addison TX PD,
Caney KS PD,Caney KS PD,
Harris County Const TX Pct 5,"Harris County TX MUD No. 419 ,Harris County TX MUD No. 489 ,Memorial Management District ,Clay Road MUD (TX),Harris County TX MUD No. 490 ",
Walton County FL SO,Walton County FL SO,Kennesaw State University
Festus MO PD,Festus MO PD,
Ward County TX SO,Ward County SO (TX),
Southern Regl PA PD,Southern Regl PA PD,Kennesaw State University
North Kingstown RI PD,North Kingstown RI PD,
Atlanta GA PD,"Atlanta GA PD - Genetec,Atlanta GA PD,Atlanta GA PD Airport Division,Atlanta GA PD (Condor),Atlanta GA PD (Flex),Genetec Test Network,Atlanta GA PD (LR) ","Kennesaw State University,Kennesaw State University Raven"
Forsyth County GA SO,"Forsyth County GA SO,Forsyth County GA SO (Flex)","Kennesaw State University,Kennesaw State University Raven"
Carrollton GA PD,"Carrollton GA PD Condor,Carrollton GA PD,Carrollton GA PD - Wing Live,Carrollton PD (GA) Flex,Carrollton GA PD Raven,Carrollton GA PD - Wing Gateway Partnership,Carrollton GA PD - Tanner Street Parking Deck","Kennesaw State University,Kennesaw State University Raven"
DeKalb County GA PD,"Dekalb County GA PD - LPR,DeKalb County GA PD (GSD),Gresham Park Rec Center - Avigilon,DeKalb County PD Parks - LPR","Kennesaw State University,Kennesaw State University Raven"
Fannin County GA SO,"Fannin County GA SO (FLEX) ,Fannin County GA SO","Kennesaw State University,Kennesaw State University Raven"
Valdosta State University GA PD,Valdosta State Univ GA PD,"Kennesaw State University,Kennesaw State University Raven"
Floyd County IN SO,Floyd County IN SO,Kennesaw State University
Chester Township OH PD,Chester Township PD OH,
Derby KS PD,Derby KS PD,
Muscogee County GA SO,Muscogee County GA SO,"Kennesaw State University,Kennesaw State University Raven"
New Bremen OH PD,New Bremen OH PD,
Putnam County IN SO,Putnam County IN SO,
Jonesboro GA PD,"Jonesboro GA PD (Flex),Jonesboro GA PD,Jonesboro GA PD - Redspeed","Kennesaw State University,Kennesaw State University Raven"
North College Hill OH PD,North College Hill OH PD,
Fountain CO PD,Fountain CO PD,
Wauconda IL PD,"Wauconda IL PD ,Wauconda IL PD Flex",
Tarpon Springs FL PD,"Tarpon Springs PD - Wing,Tarpon Springs FL PD,Tarpon Springs FL PD (Flex)",Kennesaw State University
Lexington NE PD,Lexington NE PD,
Ahoskie NC PD,Ahoskie NC PD,Kennesaw State University
Canton GA PD,"Canton GA PD,Canton GA PD - Redspeed,Canton GA PD - Gateways,Canton GA PD - Avigilon Dumpster","Kennesaw State University,Kennesaw State University Raven"
Town of Hildebran (NC),Town of Hildebran (NC),
Monon IN PD,Monon IN PD,Kennesaw State University
Wilkinson County GA SO,Wilkinson County GA SO,"Kennesaw State University,Kennesaw State University Raven"
Westfield IN PD,Westfield IN PD,Kennesaw State University
Hillsborough County FL SO,"Hillsborough County Pierce Garage IB ,Hillsborough County FL SO (Flex),Hillsborough County FL SO",Kennesaw State University
Spring Arbor MI PD,Spring Arbor MI PD,
Roswell GA PD,"Roswell GA PD (Flex),Roswell GA PD - (RedSpeed),Roswell GA Wing ,Roswell GA PD","Kennesaw State University,Kennesaw State University Raven"
Michigan City IN PD,Michigan City IN PD,Kennesaw State University
Shelby County AL SO,"Shelby County AL SO,Shelby County AL SO Condors",Kennesaw State University
Schuyler Co. IL SO,Schuyler Co. IL SP,Kennesaw State University
Allen County KS SO,Allen County KS SO,
Nixa MO PD,Nixa MO PD,
McDuffie County GA SO,McDuffie County GA SO,Kennesaw State University
Creve Coeur MO PD,Creve Coeur MO PD,
Round Rock TX PD,"Round Rock TX PD,Round Rock TX PD (Falcon Flex) ",Kennesaw State University
Camden SC PD,Camden SC PD,Kennesaw State University
Alexander AR PD,Alexander PD (AR),Kennesaw State University
Ingalls IN PD,Ingalls IN PD,Kennesaw State University
Florence Co. WI SO,Florence County WI SO,
Titusville FL PD,Titusville FL PD,Kennesaw State University
Rochester IL PD,Rochester IL PD (Flex),
Wabaunsee County SO (KS),Wabaunsee County SO (KS),Kennesaw State University
Conyers GA PD,"Conyers GA PD,Conyers Ga PD - Redspeed","Kennesaw State University,Kennesaw State University Raven"
Montezuma GA PD,Montezuma GA PD,"Kennesaw State University,Kennesaw State University Raven"
Graves County KY SO,Graves County KY SO,Kennesaw State University
