Organization Name,Networks Shared With Me,Networks I'm Sharing
Martin County FL SO,Martin County FL SO,
Piperton TN PD,Piperton TN PD,
Dekalb County SO (GA),DeKalb County SO (GA),Powder Springs GA PD
Smyrna GA PD,"Smyrna GA PD (Flex),Smyrna GA PD DFR,Smyrna GA PD - GA DOT test,Smyrna GA PD,Smyrna GA PD (PTZ),Smyrna GA PD-Trailers",Powder Springs GA PD
Florence County SC SO,"Florence County SC SO (Flex),Florence County SC Sheriff's Office",
Villa Rica GA PD,"Villa Rica GA PD,Villa Rica GA PD (Flex)",Powder Springs GA PD
Marietta GA PD,"Marietta GA  - FlockOS Live Video,Marietta GA PD - Raven,Marietta GA PD - Falcon,Marietta GA PD - Condor,Marietta GA PD - Flex",Powder Springs GA PD
Jackson County GA SO,Jackson County GA SO,Powder Springs GA PD
Dunwoody GA PD,"Dunwoody GA PD - Car Crash Pilot,Dunwoody GA Parks,Dunwoody GA PD Flex,Dunwoody GA PD",Powder Springs GA PD
Cairo GA PD ,"Cairo GA PD (Condor),Cairo GA PD ",Powder Springs GA PD
Baldwin County GA SO,"Baldwin County GA SO,Baldwin County GA SO - RedSpeed,Baldwin County GA SO (Flex)",Powder Springs GA PD
Dawson GA PD,"Dawson GA PD (PTZ),Dawson GA PD ",Powder Springs GA PD
Senoia GA PD,"Senoia GA PD,Senoia Ga PD (Live Video) ",Powder Springs GA PD
Elon University NC PD,Elon University Campus PD,
Flock City PD - Law Enforcement Demo,"Tennessee Demo Cameras,DFR ALPR - Demo 3,DFR ALPR - Demo 8,DFR ALPR - Demo 7,Demo,DFR ALPR - Demo 6,LE Trailer Demo FF,Aviation ALPR Demo,Empty Now.     ,Grass Vally CA Demo ,Lookup Demo,DFR ALPR - Demo 1,DFR ALPR - Demo 5,Albany GA PD - Demo,DFR ALPR - Demo 2,Medford Trailer Temp Network",
Anderson County TN SO,Anderson County TN SO,
Georgia Southwestern State University Campus PD ,Georgia Southwestern State University Campus PD ,Powder Springs GA PD
Paulding County GA SO,Paulding County GA SO,Powder Springs GA PD
Emory University Campus PD GA,"Emory University Campus PD GA,Emory University Campus PD GA (Condor)",Powder Springs GA PD
Clayton NC PD ,"Clayton NC PD (Flex),Clayton NC PD",
Roswell GA PD,"Roswell GA PD - (RedSpeed),Roswell GA PD,Roswell GA PD (Flex),Roswell GA Wing ",Powder Springs GA PD
Etowah County AL SO,Etowah County AL SO,
Bowdon GA PD,Bowdon GA PD,
Forest Park GA PD,"Forest Park GA PD (Audio Detection),Forest Park GA PD - Redspeed,Forest Park GA PD",Powder Springs GA PD
